name	id	definition	comment	broad	exact	related
continuant	BFO_0000002	An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.				
occurrent	BFO_0000003	An entity that has temporal parts and that happens, unfolds or develops through time.				
independent continuant	BFO_0000004	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.				
spatial region	BFO_0000006					
process	BFO_0000015	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.				
quality	BFO_0000019					
specifically dependent continuant	BFO_0000020	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.				
fiat object part	BFO_0000024					
object	BFO_0000030					
generically dependent continuant	BFO_0000031	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.				
material entity	BFO_0000040	An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.				
immaterial entity	BFO_0000141					
anatomical entity	CARO_0000000					
connected anatomical structure	CARO_0000003					
material anatomical entity	CARO_0000006					
multi-cell-part structure	CARO_0001000					
neuron projection bundle	CARO_0001001					
organism or virus or viroid	CARO_0001010					
biological entity	CARO_0030000					
electron	CHEBI_10545	Elementary particle not affected by the strong force having a spin 1/2, a negative elementary charge and a rest mass of 0.000548579903(13) u, or 0.51099906(15) MeV.			electron	e(-)|beta-particle|e|e-|negatron|beta|Elektron|beta(-)
molecular entity	CHEBI_23367	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.			molecular entity	molekulare Entitaet|entidades moleculares|molecular entities|entidad molecular|entite moleculaire
chemical entity	CHEBI_24431	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.			chemical entity	
biological role	CHEBI_24432	A role played by the molecular entity or part thereof within a biological context.				biological function
group	CHEBI_24433	A defined linked collection of atoms or a single atom within a molecular entity.			group	Rest|grupo|grupos|groupe|Gruppe
hydroxides	CHEBI_24651	Hydroxides are chemical compounds containing a hydroxy group or salts containing hydroxide (OH(-)).				
inorganic molecular entity	CHEBI_24835	A molecular entity that contains no carbon.				inorganics|inorganic compounds|inorganic entity|anorganische Verbindungen|inorganic molecular entities
melanins	CHEBI_25179					
molecule	CHEBI_25367	Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.			molecule	Molekuel|molecules|neutral molecular compounds|molecula
nonmetal atom	CHEBI_25585				nonmetal	non-metaux|nonmetal|nonmetals|Nichtmetalle|non-metal|no metal|no metales|Nichtmetall
oxygen atom	CHEBI_25805				oxygen	8O|oxygene|Sauerstoff|oxygen|oxigeno|O
oxygen molecular entity	CHEBI_25806				oxygen molecular entity	oxygen molecular entities
biological pigment	CHEBI_26130	An endogenous molecular entity that results in a colour of an organism as the consequence of the selective absorption of light.				pigments
polyphenol	CHEBI_26195	Members of the class of phenols that contain 2 or more benzene rings each of which is substituted by at least one hydroxy group.				polyphenols
carbon atom	CHEBI_27594				carbon	carbono|C|Kohlenstoff|carbon|carbone|6C|Carbon|carbonium
fundamental particle	CHEBI_33233	A particle not known to have substructure.			elementary particle	elementary particles
inorganic group	CHEBI_33246	Any substituent group which does not contain carbon.				inorganic groups
organic group	CHEBI_33247	Any substituent group or skeleton containing carbon.				
atom	CHEBI_33250	A chemical entity constituting the smallest component of an element having the chemical properties of the element.			atom	atomo|atomus|elements|atome|atoms|element
atomic nucleus	CHEBI_33252	A nucleus is the positively charged central portion of an atom, excluding the orbital electrons.			nucleus	nuclei|nucleus atomi|Kern|noyau atomique|nucleo atomico|Atomkern|noyau|nucleo
nucleon	CHEBI_33253	Heavy nuclear particle: proton or neutron.			nucleon	nucleons|Nukleonen|Nukleon
nutrient	CHEBI_33284	A nutrient is a food component that an organism uses to survive and grow.				nutrients
chalcogen	CHEBI_33303	Any p-block element belonging to the group 16 family of the periodic table.			chalcogen|chalcogens	Chalkogene|chalcogene|chalcogenes|anfigenos|group 16 elements|anfigeno|calcogenos|group VI elements|Chalkogen|calcogeno
chalcogen molecular entity	CHEBI_33304	Any p-block molecular entity containing a chalcogen.			chalcogen molecular entity	chalcogen molecular entities|chalcogen compounds
carbon group element atom	CHEBI_33306				group 14 elements	carbon group element|cristallogene|cristallogenes|carbonoides|carbon group elements|group IV elements
main group element atom	CHEBI_33318	An atom belonging to one of the main groups (found in the s- and p- blocks) of the periodic table.			main group elements	Hauptgruppenelement|main group element|Hauptgruppenelemente
s-block element atom	CHEBI_33559					s-block element|s-block elements
p-block element atom	CHEBI_33560	Any main group element atom belonging to the p-block of the periodic table.				p-block element|p-block elements
main group molecular entity	CHEBI_33579	A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table.				main group compounds|main group molecular entities
carbon group molecular entity	CHEBI_33582				carbon group molecular entity	carbon group molecular entities
cyclic compound	CHEBI_33595	Any molecule that consists of a series of atoms joined together to form a ring.				cyclic compounds
hydrogen molecular entity	CHEBI_33608					hydrogen compounds|hydrogen molecular entities
aromatic compound	CHEBI_33655	A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character.			aromatic molecular entity|aromatic compounds	aromatische Verbindungen|aromatics
organic aromatic compound	CHEBI_33659					organic aromatic compounds
s-block molecular entity	CHEBI_33674	An s-block molecular entity is a molecular entity containing one or more atoms of an s-block element.			s-block molecular entity	s-block molecular entities|s-block compounds
p-block molecular entity	CHEBI_33675	A main group molecular entity that contains one or more atoms of a p-block element.				p-block molecular entities|p-block molecular entitiy|p-block compounds
amino-acid residue	CHEBI_33708	When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.			amino acid residue	
