name	vaccine_id	vaccine_proper_name	trade_name
entity	BFO_0000001		
continuant	BFO_0000002		
occurrent	BFO_0000003		
independent continuant	BFO_0000004		
temporal region	BFO_0000008		
process	BFO_0000015		
disposition	BFO_0000016		
realizable entity	BFO_0000017		
quality	BFO_0000019		
specifically dependent continuant	BFO_0000020		
role	BFO_0000023		
site	BFO_0000029		
generically dependent continuant	BFO_0000031		
function	BFO_0000034		
one-dimensional temporal region	BFO_0000038		
material entity	BFO_0000040		
immaterial entity	BFO_0000141		
phenol	CHEBI_15882		
urea	CHEBI_16199		
lipopolysaccharide	CHEBI_16412		
peptide	CHEBI_16670		
formaldehyde	CHEBI_16842		
streptomycin	CHEBI_17076		
lactose	CHEBI_17716		
gentamycin	CHEBI_17833		
sucrose	CHEBI_17992		
molecular entity	CHEBI_23367		
chemical entity	CHEBI_24431		
sodium chloride	CHEBI_26710		
aspartame	CHEBI_2877		
glucitol	CHEBI_30911		
saccharin	CHEBI_32111		
aluminium hydroxide	CHEBI_33130		
sodium phosphate	CHEBI_37586		
dextran	CHEBI_52071		
polysorbate 20	CHEBI_53424		
polysorbate 80	CHEBI_53426		
monosodium glutamate	CHEBI_64220		
neomycin	CHEBI_7507		
thimerosal	CHEBI_9546		
disease by infectious agent	DOID_0050117		
primary bacterial infectious disease	DOID_0050338		
cell type cancer	DOID_0050687		
bacterial infectious disease	DOID_104		
Brucella suis brucellosis	DOID_11076		
brucellosis	DOID_11077		
malaria	DOID_12365		
parasitic infectious disease	DOID_1398		
Plasmodium falciparum malaria	DOID_14067		
Brucella melitensis brucellosis	DOID_14456		
Brucella abortus brucellosis	DOID_14457		
disease of cellular proliferation	DOID_14566		
cancer	DOID_162		
melanoma	DOID_1909		
parasitic protozoa infectious disease	DOID_2789		
disease	DOID_4		
Human immunodeficiency virus infectious disease	DOID_526		
influenza	DOID_8469		
viral infectious disease	DOID_934		
Hormone	FMA_12278		
adaptive immune response	GO_0002250		
mucosal immune response	GO_0002385		
immune response	GO_0006955		
biological_process	GO_0008150		
immunoglobulin complex	GO_0019814		
protein complex	GO_0043234		
response to stimulus	GO_0050896		
IgG immunoglobulin complex	GO_0071735		
IgD immunoglobulin complex	GO_0071738		
IgE immunoglobulin complex	GO_0071742		
IgA immunoglobulin complex	GO_0071745		
IgM immunoglobulin complex	GO_0071753		
conditional specification	IAO_0000001		
measurement unit label	IAO_0000003		
objective specification	IAO_0000005		
action specification	IAO_0000007		
datum label	IAO_0000009		
journal article	IAO_0000013		
data item	IAO_0000027		
information content entity	IAO_0000030		
scalar measurement datum	IAO_0000032		
directive information entity	IAO_0000033		
algorithm	IAO_0000064		
curation status specification	IAO_0000078		
report	IAO_0000088		
data set	IAO_0000100		
data about an ontology part	IAO_0000102		
plan specification	IAO_0000104		
measurement datum	IAO_0000109		
document	IAO_0000310		
pathogen	IDO_0000528		
virulence factor	IDO_0000547		
